"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2397","should display desktop navigation correctly at 1280x800 (Standard Desktop)","firefox","2026-07-17","passed","2026-07-17","Navigation Flows","ui/navigation/home.spec.ts","",""
"","380","should return a non-empty users list","api","2026-07-17","passed","2026-07-17","Users API","api/users.api.spec.ts","",""
"","5629","should render the marketing banner in the expected page region","firefox","2026-07-17","passed","2026-07-17","Login Page","ui/navigation/login.spec.ts","",""
"","1837","should display Request a quote button","chromium","2026-07-17","passed","2026-07-17","OTC Desk Page","ui/content/otcDesk.spec.ts","",""
"","996","should return 200 and a schema-valid response contract","api","2026-07-17","passed","2026-07-17","Refdata Config API","api/refdata-config.api.spec.ts","",""
"","2596","should display How it works steps","chromium","2026-07-17","passed","2026-07-17","OTC Desk Page","ui/content/otcDesk.spec.ts","",""
"","1864","should render all expected top navigation links and buttons on the features page","chromium","2026-07-17","passed","2026-07-17","Navigation Flows","ui/navigation/home.spec.ts","",""
"","5431","should redirect to Google Play Store when user is on an Android device","firefox","2026-07-17","passed","2026-07-17","App Link Redirection","ui/content/appLink.spec.ts","",""
"","3086","should redirect to Google Play Store when user is on an Android device","chromium","2026-07-17","passed","2026-07-17","App Link Redirection","ui/content/appLink.spec.ts","",""
"","1779","should display Request a quote button","firefox","2026-07-17","passed","2026-07-17","OTC Desk Page","ui/content/otcDesk.spec.ts","",""
"","1686","should display trade with #1 OTC Desk heading","firefox","2026-07-17","passed","2026-07-17","OTC Desk Page","ui/content/otcDesk.spec.ts","",""
"","4560","should show required field errors when email and password are cleared","firefox","2026-07-17","passed","2026-07-17","Login Page","ui/navigation/login.spec.ts","",""
"","5078","should render the login form","firefox","2026-07-17","passed","2026-07-17","Login Page","ui/navigation/login.spec.ts","",""
"","4901","should handle market content loading timeout on the explore page","chromium","2026-07-17","passed","2026-07-17","Navigation Flows","ui/navigation/home.spec.ts","",""
"","1941","should display desktop navigation correctly at 1440x900 (Large Desktop Monitor)","chromium","2026-07-17","passed","2026-07-17","Navigation Flows","ui/navigation/home.spec.ts","",""
"","1503","should display all feature sections","chromium","2026-07-17","passed","2026-07-17","OTC Desk Page","ui/content/otcDesk.spec.ts","",""
"","2508","should render the login form","chromium","2026-07-17","passed","2026-07-17","Login Page","ui/navigation/login.spec.ts","",""
"","5006","should detect broken links across header navigation links","firefox","2026-07-17","passed","2026-07-17","Navigation Flows","ui/navigation/home.spec.ts","",""
"","4585","should redirect to Apple App Store when user is on an iOS device","firefox","2026-07-17","passed","2026-07-17","App Link Redirection","ui/content/appLink.spec.ts","",""
"","1190","should collapse desktop navigation at a mobile breakpoint","chromium","2026-07-17","passed","2026-07-17","Navigation Flows","ui/navigation/home.spec.ts","",""
"","2010","should display desktop navigation correctly at 1024x768 (Small Laptop / Tablet Landscape)","chromium","2026-07-17","passed","2026-07-17","Navigation Flows","ui/navigation/home.spec.ts","",""
"","1091","should display trade with #1 OTC Desk heading","chromium","2026-07-17","passed","2026-07-17","OTC Desk Page","ui/content/otcDesk.spec.ts","",""
"","2876","should redirect to Apple App Store when user is on an iOS device","chromium","2026-07-17","passed","2026-07-17","App Link Redirection","ui/content/appLink.spec.ts","",""
"","8072","should show an error for invalid credentials","firefox","2026-07-17","passed","2026-07-17","Login Page","ui/navigation/login.spec.ts","",""
"","5988","should show spot trading section with at least one trading pair","firefox","2026-07-17","passed","2026-07-17","Explore Page","ui/trading/explorePage.spec.ts","",""
"","2475","should render main headings and key content sections","chromium","2026-07-17","passed","2026-07-17","Company Page","ui/content/company.spec.ts","",""
"","1920","should display desktop navigation correctly at 1280x800 (Standard Desktop)","chromium","2026-07-17","passed","2026-07-17","Navigation Flows","ui/navigation/home.spec.ts","",""
"","2806","should render main headings and key content sections","firefox","2026-07-17","passed","2026-07-17","Company Page","ui/content/company.spec.ts","",""
"","4970","should show an error for invalid credentials","chromium","2026-07-17","passed","2026-07-17","Login Page","ui/navigation/login.spec.ts","",""
"","1644","should display How it works steps","firefox","2026-07-17","passed","2026-07-17","OTC Desk Page","ui/content/otcDesk.spec.ts","",""
"","5531","should show expected fields for the first trading pair row","firefox","2026-07-17","passed","2026-07-17","Explore Page","ui/trading/explorePage.spec.ts","",""
"","1721","should display all feature sections","firefox","2026-07-17","passed","2026-07-17","OTC Desk Page","ui/content/otcDesk.spec.ts","",""
"","6142","should show category filters and activate the selected category","firefox","2026-07-17","passed","2026-07-17","Explore Page","ui/trading/explorePage.spec.ts","",""
"","3601","should show expected fields for the first trading pair row","chromium","2026-07-17","passed","2026-07-17","Explore Page","ui/trading/explorePage.spec.ts","",""
"","2678","should display hero heading","chromium","2026-07-17","passed","2026-07-17","OTC Desk Page","ui/content/otcDesk.spec.ts","",""
"","4932","should traverse header options and verify matching landing components","chromium","2026-07-17","passed","2026-07-17","Navigation Flows","ui/navigation/home.spec.ts","",""
"","4892","should show required field errors when email and password are cleared","chromium","2026-07-17","passed","2026-07-17","Login Page","ui/navigation/login.spec.ts","",""
"","24","should validate the refdata fixture against the schema","api","2026-07-17","passed","2026-07-17","Refdata Config API","api/refdata-config.api.spec.ts","",""
"","2317","should display desktop navigation correctly at 1024x768 (Small Laptop / Tablet Landscape)","firefox","2026-07-17","passed","2026-07-17","Navigation Flows","ui/navigation/home.spec.ts","",""
"","7822","should traverse header options and verify matching landing components","firefox","2026-07-17","passed","2026-07-17","Navigation Flows","ui/navigation/home.spec.ts","",""
"","4464","should show a validation error for an invalid email address","firefox","2026-07-17","passed","2026-07-17","Login Page","ui/navigation/login.spec.ts","",""
"","2018","should collapse desktop navigation at a mobile breakpoint","firefox","2026-07-17","passed","2026-07-17","Navigation Flows","ui/navigation/home.spec.ts","",""
"","1254","should handle an invalid route with a 404 recovery page","chromium","2026-07-17","passed","2026-07-17","Navigation Flows","ui/navigation/home.spec.ts","",""
"","4838","should detect broken links across header navigation links","chromium","2026-07-17","passed","2026-07-17","Navigation Flows","ui/navigation/home.spec.ts","",""
"","2277","should render all expected top navigation links and buttons on the features page","firefox","2026-07-17","passed","2026-07-17","Navigation Flows","ui/navigation/home.spec.ts","",""
"","1315","should handle an invalid route with a 404 recovery page","firefox","2026-07-17","passed","2026-07-17","Navigation Flows","ui/navigation/home.spec.ts","",""
"","6910","should handle market content loading timeout on the explore page","firefox","2026-07-17","passed","2026-07-17","Navigation Flows","ui/navigation/home.spec.ts","",""
"","3513","should show category filters and activate the selected category","chromium","2026-07-17","passed","2026-07-17","Explore Page","ui/trading/explorePage.spec.ts","",""
"","2173","should display hero heading","firefox","2026-07-17","passed","2026-07-17","OTC Desk Page","ui/content/otcDesk.spec.ts","",""
"","3624","should display desktop navigation correctly at 1440x900 (Large Desktop Monitor)","firefox","2026-07-17","passed","2026-07-17","Navigation Flows","ui/navigation/home.spec.ts","",""
"","4367","should show a validation error for an invalid email address","chromium","2026-07-17","passed","2026-07-17","Login Page","ui/navigation/login.spec.ts","",""
"","3552","should show spot trading section with at least one trading pair","chromium","2026-07-17","passed","2026-07-17","Explore Page","ui/trading/explorePage.spec.ts","",""
"","3849","should reject unauthenticated guest user access","firefox","2026-07-17","passed","2026-07-17","Login Page","ui/navigation/login.spec.ts","",""
"","4641","should render the marketing banner in the expected page region","chromium","2026-07-17","passed","2026-07-17","Login Page","ui/navigation/login.spec.ts","",""
"","3003","should reject unauthenticated guest user access","chromium","2026-07-17","passed","2026-07-17","Login Page","ui/navigation/login.spec.ts","",""
